candidate_name,poll_variance,poll_name,score,twitter_name
Jim Renacci,30.77104166666668,Jim Renacci,100,Jim Renacci
Jo Crain,0.6143790849673202,Jo Crain,56,Ron Curtis
Joe Donnelly,12.978230769230757,Joe Donnelly,59,Archive: Senator Joe Donnelly
"Joe Manchin, III",14.216774628879893,"Joe Manchin, III",63,Senator Joe Manchin
John Barrasso,,John Barrasso,62,John Bel Edwards
John Barrasso,,John Barrasso,84,Sen. John Barrasso
Jon Tester,10.34148148148145,Jon Tester,100,Jon Tester
Jon Tester,10.34148148148145,Jon Tester,55,Andy Beshear
Jonathan Jenkins,,Jonathan Jenkins,46,Governor Matt Bevin
Joseph Porambo,,Joseph Porambo,44,Rep. Ralph Abraham
Josh Hawley,10.836937888198753,Josh Hawley,100,Josh Hawley
Kevin Cramer,13.360294117647056,Kevin Cramer,67,Kevin Kimple
Kevin de León,47.71428571428571,Kevin de León,92,Kevin de Leόn
Kirsten E. Gillibrand,9.249999999999998,Kirsten E. Gillibrand,92,Kirsten Gillibrand
Leah Vukmir,12.357394179894184,Leah Vukmir,100,Leah Vukmir
Marcia Squier,0.2799999999999999,Marcia Squier,46,marcia_marcia
Maria Cantwell,0.5,Maria Cantwell,85,Sen. Maria Cantwell
Marsha Blackburn,32.460909917043764,Marsha Blackburn,100,Marsha Blackburn
Martin Heinrich,25.585563186813197,Martin Heinrich,100,Martin Heinrich
Matt Rosendale,10.9358201058201,Matt Rosendale,100,Matt Rosendale
Matthew Corey,16.894999999999992,Matthew Corey,100,Matthew Corey
Mick Rich,108.60386666666666,Mick Rich,100,Mick Rich
Mike Braun,16.714333333333318,Mike Braun,100,Mike Braun
Mitt Romney,31.984761904761896,Mitt Romney,100,Mitt Romney
Murray Sabrin,5.5376666666666665,Murray Sabrin,100,Murray Sabrin
Neal Dikeman,0.6420622222222223,Neal Dikeman,100,Neal Dikeman
Neal Simon,47.045,Neal Simon,100,Neal Simon
Paula M. Overby,2.3866666666666663,Paula M. Overby,74,paula overby
Phil Bredesen,14.587185935143275,Phil Bredesen,100,Phil Bredesen
Reed C. McCandless,0.2450000000000001,Reed C. McCandless,91,Reed McCandless
Robert Menendez,39.03780797101454,Robert Menendez,53,Menendez for NJ
Robert P. Casey Jr.,15.423559126984124,Robert P. Casey Jr.,75,Bob Casey Jr.
Shawn R. O'Hara,0.8929,Shawn R. O'Hara,89,Shawn O'Hara
Sheldon Whitehouse,1.6880000000000048,Sheldon Whitehouse,100,Sheldon Whitehouse
Sherrod Brown,12.479678030303036,Sherrod Brown,100,Sherrod Brown
Shiva Ayyadurai,2.6115555555555563,Shiva Ayyadurai,48,"Dr. Shiva Ayyadurai, MIT PhD. Inventor of Email"
Susan Hutchison,4.5,Susan Hutchison,100,Susan Hutchison
Tammy Baldwin,12.197394179894175,Tammy Baldwin,84,Sen. Tammy Baldwin
Ted Cruz,25.0013425531915,Ted Cruz,67,Senator Ted Cruz
Thomas R. Carper,61.0,Thomas R. Carper,59,Senator Tom Carper
Tim Hagan,6.160000000000001,Tim Hagan,47,Jim Hood
Tim Kaine,10.519999999999994,Tim Kaine,100,Tim Kaine
